Tree_Height_m,Leaf_Size,Soil_Quality,Rainfall_mm,Sunlight_Hours,Has_Fruit,Is_Conifer,Forest_Density,Tree_Age,Survival_in_Forest
22.4,small,8,1535,5.1,1,1,227,75,0
11.7,small,8,1631,7,1,0,50,152,1
26,medium,3,1183,9.8,0,0,161,192,1
27.5,small,10,1511,5.3,0,1,115,100,0
5,small,5,1728,7.6,1,1,128,173,1
9.6,large,6,1747,6.4,0,1,96,96,1
21,large,8,2121,8.2,0,0,140,27,0
17.5,medium,7,2011,7.2,1,1,260,6,0
19.9,small,2,1099,11,1,0,74,28,0
13.2,medium,4,2173,9,1,0,80,189,0
27,medium,4,1288,5.4,0,0,72,96,0
26.2,small,10,1918,9.3,0,0,254,64,1
20.5,medium,8,1527,6.5,0,1,122,90,1
29,small,4,1335,6.8,0,1,148,52,1
23.7,small,8,777,8.6,0,0,126,175,1
13.1,medium,8,1431,7,1,1,93,200,1
23,small,4,876,9.8,0,0,136,17,0
12.3,small,5,1887,6.5,1,0,297,144,1
27,large,9,2107,6.8,1,1,234,68,1
19.6,large,6,1181,6.7,1,0,99,10,1
18.5,medium,2,1621,6.9,0,1,189,185,1
14.6,large,8,1210,10.2,0,0,100,13,1
29.8,large,6,1249,9.3,1,0,50,42,1
18.8,small,6,1810,11.4,0,1,211,6,0
16.6,medium,8,1485,12,1,1,220,95,0
17.2,small,10,2196,5.9,0,0,213,120,0
24.3,small,4,1307,8.1,0,0,122,65,0
22.9,medium,5,1900,5.6,1,1,140,15,0
23.3,medium,2,1539,6.4,1,0,195,24,0
23.4,medium,7,1818,6.7,0,0,173,187,1
37.1,small,5,1321,5.9,1,1,126,162,1
16.7,small,4,1480,5.9,0,0,53,188,0
15.9,large,7,1454,7.7,1,1,157,107,1
13.5,small,5,1166,5.6,1,0,215,110,0
24.9,small,5,1765,9.7,1,1,78,158,1
29,small,5,1760,6.2,1,1,188,124,1
19.1,medium,3,1737,12,0,0,170,88,0
13.3,medium,2,2115,7.1,1,0,195,59,0
13.4,medium,9,2080,8.1,0,0,202,98,0
25.2,small,1,1350,5.4,0,1,108,13,0
25.9,small,4,1649,11.4,0,1,53,39,0
24.3,large,7,1251,10.2,0,1,118,148,1
14.7,medium,2,1509,8.6,1,0,203,174,0
21.9,medium,7,1260,5.3,0,0,117,21,0
20.9,medium,8,2148,8.4,0,1,108,20,1
21.7,medium,7,1645,5.8,0,1,50,18,0
27,small,4,1413,10.9,1,1,255,159,0
21.8,small,1,1977,9.6,1,0,200,63,0
25.4,medium,9,632,8.2,1,0,196,66,0
20.5,small,4,694,3.1,0,0,208,3,0
22.3,large,9,1818,6,0,0,185,195,1
25.1,medium,2,1524,9.4,1,0,135,87,0
8.3,medium,2,1600,10.4,1,1,140,160,0
17.4,large,8,969,10.2,1,0,124,142,0
16.2,medium,10,1491,4.8,1,1,308,29,1
14.9,large,9,2301,8.6,1,1,183,161,1
17.8,medium,8,1830,10,1,1,122,111,0
32,large,3,1568,4.7,0,1,178,121,0
13.1,small,10,1324,8,0,0,89,41,1
27.7,medium,7,1342,8.5,0,1,240,170,0
6.5,medium,2,648,7.4,0,0,110,187,0
17.3,small,2,1603,4.3,0,1,180,82,1
21.3,small,9,1838,7.3,1,1,214,19,1
24.7,large,3,870,7.3,0,1,173,170,0
25.7,medium,8,1235,7.7,0,0,156,178,0
26.3,small,2,1037,6.9,0,0,151,102,0
17.2,small,3,1114,7.1,0,0,147,116,1
16.3,small,3,1521,7.9,0,0,115,45,0
26.9,small,3,666,8.9,0,1,123,14,1
18.5,large,7,1746,7.4,1,0,239,189,1
9.8,medium,10,1802,7.2,1,0,143,97,1
10.9,small,10,1400,8.2,0,1,103,55,1
12.6,medium,8,508,4.2,1,0,119,139,0
24,small,3,1101,9,1,1,216,6,0
21.1,small,10,1993,8,1,0,191,16,1
25.5,medium,6,500,8.1,0,0,184,49,0
16.6,medium,6,1361,9.9,1,1,135,91,1
21.3,large,8,1028,4.1,0,1,184,74,1
25,medium,8,1822,4.1,0,1,111,38,1
17.5,medium,10,1230,8.5,0,1,134,71,1
23.7,medium,6,1662,8,1,0,208,67,0
14.7,large,7,1726,8.3,0,1,202,105,1
17.1,medium,8,2234,7.1,0,0,91,113,1
16.9,large,3,1419,9.3,0,1,99,177,1
10.4,medium,4,1650,9.9,0,0,157,162,0
23.9,large,7,906,9,1,1,254,59,0
16.2,small,1,1976,7.5,0,0,50,181,0
20.1,medium,4,1196,3.8,0,1,167,105,0
23.8,medium,8,1276,9.5,0,1,67,38,1
23.6,medium,10,1491,10.4,0,1,112,69,0
25.3,medium,6,875,9.3,0,1,128,149,1
19.2,large,4,1592,6.2,1,0,125,165,0
16.6,large,5,1887,9.3,0,0,118,75,1
19.4,small,7,1617,9.7,0,1,150,32,1
6.5,medium,6,864,11.1,1,0,118,39,0
8.4,medium,1,1450,6.2,1,0,62,21,0
9.4,small,6,1797,7.5,0,0,197,140,1
12,small,5,749,9.5,0,1,195,101,0
23.2,small,8,1070,8.1,0,0,201,91,0
12.8,medium,9,1851,5.8,1,0,58,135,0
17,medium,10,1608,8.8,0,1,168,166,1
30.4,large,7,1665,9.2,0,0,191,160,1
17.1,medium,4,2244,8.2,1,0,88,28,0
25.9,large,5,1687,8.4,0,0,151,118,0
12.5,medium,2,1763,7.5,0,1,143,177,1
18.4,medium,10,2584,11,1,0,261,155,0
12.4,small,9,1414,6.2,0,1,265,66,1
17.3,medium,9,1181,6.8,1,0,50,79,1
26.7,large,4,1671,8,1,0,300,179,0
6.2,large,4,1676,9.8,0,0,95,7,1
23.5,large,9,1289,5,1,0,209,106,0
21.9,small,6,1087,5.4,1,0,208,24,0
15.2,small,8,2424,3.9,1,0,90,179,0
8.4,small,5,1631,8.1,0,0,180,8,1
20.6,small,5,1207,5.8,0,1,144,5,1
15.8,medium,7,1866,7.2,0,1,183,66,1
21.9,medium,9,1456,9.3,1,1,164,41,1
20.2,medium,4,1399,6.7,0,1,222,100,1
32.8,large,9,1725,8.5,1,1,155,60,1
18.1,medium,3,983,7.4,1,1,140,72,0
11.8,large,5,1641,9.3,1,1,216,113,1
21.4,small,10,2265,9,0,0,185,113,1
21.8,small,10,1686,6.6,0,1,194,187,1
30.9,medium,10,1350,7.7,1,0,110,97,1
26.7,large,4,1297,10.1,0,1,87,113,0
22.9,small,9,1336,8.8,0,1,116,136,1
31.7,medium,10,1398,5.2,1,0,113,35,0
10.5,medium,10,1349,9.3,1,0,197,134,1
14.9,small,1,1867,5.8,1,0,209,173,0
12.6,medium,8,807,10.8,1,0,141,64,0
16.9,large,10,1845,10,0,1,236,36,0
9,medium,8,1348,8.6,0,1,232,70,1
25.1,small,3,1651,8.3,0,1,165,56,1
18.2,large,8,1049,7.6,0,1,101,118,1
8.2,small,2,2031,9.4,1,0,245,173,0
11.9,large,5,1998,7.3,0,0,146,120,1
22.5,small,7,1884,8.5,1,1,158,26,1
26.7,medium,5,894,9.7,1,1,130,63,1
36,small,7,1832,6.9,1,1,97,138,1
43.3,small,3,1662,6.8,0,0,62,67,1
23.3,large,7,858,5.6,0,1,188,118,0
12.1,small,7,1490,5.9,1,1,103,139,1
5,small,7,1646,4.3,1,0,334,66,0
22.1,small,3,1722,9.5,0,0,85,130,1
13.5,medium,4,1571,11.6,0,0,75,80,0
16.7,large,3,1616,10.9,1,0,181,28,0
15.1,large,5,2089,4.7,1,0,242,75,0
18.9,small,6,1990,9.4,0,1,154,89,1
28.5,medium,4,500,10.8,0,1,184,1,0
21.3,small,5,1373,7.1,1,0,50,179,1
18.7,medium,3,1434,8.2,1,1,109,106,0
11.7,large,3,799,4,1,1,86,8,0
6.6,medium,7,1538,8.5,0,0,50,174,1
16.1,medium,9,2000,5.9,0,0,157,172,0
19.6,small,3,1065,8.4,1,0,50,3,1
34.1,large,9,1635,4.9,1,1,71,33,1
21,medium,6,1134,9.1,1,1,118,73,1
27.9,small,2,1231,10,0,1,100,102,0
16,small,4,2091,6.4,0,1,174,146,0
10.5,small,1,1283,5.7,0,0,168,85,0
12.3,small,1,1685,3.7,0,0,204,123,0
14.2,small,4,752,7.5,1,1,195,3,1
37,medium,5,2245,6.8,0,0,218,132,0
13.4,medium,8,1741,4.9,1,0,150,184,0
26.7,small,2,1427,8.9,1,0,168,106,1
12.8,medium,9,1730,7.1,1,0,181,91,1
27.5,large,3,936,5.8,1,0,158,60,0
23.1,medium,2,1973,6.9,0,0,126,191,1
18.7,medium,7,1370,10.1,1,0,130,7,0
19.7,small,8,1418,9.2,0,1,101,58,1
14.8,large,7,1303,7.7,0,1,175,28,1
23.6,small,2,1268,9.2,0,1,144,174,0
16.4,small,2,1778,5.7,0,1,110,97,0
10.2,large,4,1602,8.1,1,1,110,185,1
9.8,medium,5,1761,8.3,0,0,77,134,1
21.4,medium,10,1496,7.1,0,1,209,112,1
32.6,medium,3,1705,8.9,0,1,155,104,0
21.3,medium,2,1332,6.4,0,1,98,41,1
19.1,small,10,2392,9,1,0,199,113,0
22.3,small,2,873,9.1,0,0,116,138,0
30.4,small,1,2004,2.2,1,1,66,194,0
21.8,small,5,2047,10.4,0,1,211,110,0
16.7,large,5,1159,2,1,1,118,188,1
28.9,small,7,2392,6.8,0,1,125,189,0
23.4,medium,9,1898,10.1,0,0,152,105,1
32.3,medium,10,1888,7.4,0,0,219,88,1
21.5,medium,3,1511,5.1,1,1,151,29,1
10.2,medium,10,1413,5.8,1,1,78,54,1
9.1,medium,7,1416,10.1,0,0,183,176,0
33.2,large,1,1656,4.2,1,0,121,28,0
33.8,medium,10,2060,10.3,1,0,263,80,0
